720,36,Tính ∫1^2 (1/x) dx,ln2,2-Jan,1,2,A
721,37,Chữ cái nào đứng đầu bảng chữ cái tiếng Việt?,A. B,B. A,C. C,D. D,B
722,37,Từ nào là tên một loài hoa?,A. Bút,B. Hoa,C. Bàn,D. Ghế,B
723,37,Từ nào chỉ con vật?,A. Chó,B. Bút,C. Vở,D. Bàn,A
724,37,Chữ cái nào là nguyên âm?,A. b,B. c,C. a,D. g,C
725,37,Từ nào là từ chỉ đồ vật?,A. Mèo,B. Cá,C. Ghế,D. Chim,C
726,37,"Trong từ “bông hoa”, tiếng nào là tiếng chỉ sự vật?",A. bông,B. hoa,C. cả hai,D. không có,B
727,37,Từ nào có thanh hỏi?,A. mẹ,B. bà,C. ba,D. cha,A
728,37,Từ nào là từ láy?,A. xanh,B. đỏ,C. xinh xinh,D. vàng,C
729,37,Từ nào chỉ màu sắc?,A. đỏ,B. bàn,C. mèo,D. vở,A
730,37,Từ nào là tiếng kêu của con gà trống?,A. eng éc,B. ò ó o,C. be be,D. ụm bò,B
731,37,Từ nào viết đúng chính tả?,A. trăng,B. chang,C. chăng,D. chăn,A
732,37,"Trong từ “quả cam”, tiếng nào chỉ sự vật?",A. quả,B. cam,C. cả hai,D. không có,B
733,37,“Bàn ghế” dùng để làm gì?,"A. Ngồi, học",B. Chơi,C. Ăn,D. Uống,A
734,37,Từ nào có thanh sắc?,A. bà,B. cá,C. cha,D. me,B
735,37,"Trong các từ sau, từ nào chỉ con vật?",A. chim,B. vở,C. bút,D. bàn,A
736,37,Chữ cái nào viết hoa đúng?,A. a,B. B,C. c,D. d,B
737,37,"Trong câu “Em bé cười”, từ nào chỉ hoạt động?",A. Em,B. bé,C. cười,D. cả ba,C
738,37,Từ nào chỉ đồ dùng học tập?,A. bàn,B. ghế,C. bút,D. mèo,C
739,37,Tiếng nào có vần “an”?,A. bàn,B. mèo,C. gà,D. cá,A
740,37,"Trong các từ sau, từ nào chỉ màu?",A. xanh,B. vở,C. mèo,D. cá,A
741,38,Từ nào có nghĩa trái ngược với “cao”?,A. thấp,B. to,C. dài,D. đẹp,A
742,38,Từ nào có nghĩa giống với “xinh”?,A. đẹp,B. xấu,C. to,D. thấp,A
743,38,Chữ cái nào phát âm là /em/?,A. m,B. n,C. l,D. r,A
744,38,Từ nào là danh từ?,A. chạy,B. ăn,C. sách,D. cười,C
745,38,Từ nào có thanh huyền?,A. bà,B. cá,C. mẹ,D. lá,A
746,38,"Trong câu “Bé ăn cơm”, từ nào chỉ hoạt động?",A. Bé,B. ăn,C. cơm,D. cả 3,B
747,38,Con gì kêu “ò ó o”?,A. vịt,B. gà trống,C. mèo,D. chó,B
748,38,Từ nào chỉ trái cây?,A. cam,B. bàn,C. ghế,D. bút,A
749,38,Từ nào có vần “ong”?,A. bóng,B. mèo,C. lá,D. cá,A
750,38,Chữ cái nào viết hoa đúng?,A. h,B. n,C. A,D. c,C
751,38,"Trong từ “ông bà”, tiếng nào chỉ nam giới?",A. ông,B. bà,C. cả hai,D. không có,A
752,38,Con vật nào biết bay?,A. cá,B. chim,C. chó,D. mèo,B
753,38,Từ nào có nghĩa trái ngược với “xấu”?,A. đẹp,B. to,C. bé,D. ngắn,A
754,38,"Trong câu “Mèo kêu meo meo”, từ nào chỉ con vật?",A. Mèo,B. kêu,C. meo,D. cả câu,A
755,38,Tiếng nào có vần “em”?,A. lem,B. lam,C. lom,D. lum,A
756,38,Từ nào là từ láy?,A. xanh xanh,B. mèo,C. bàn,D. cá,A
757,38,"Trong từ “quyển vở”, tiếng nào chỉ sự vật?",A. quyển,B. vở,C. cả hai,D. không có,B
758,38,Từ nào có thanh ngã?,A. ngã,B. cha,C. bà,D. ca,A
759,38,"Trong câu “Bé vẽ nhà”, từ nào chỉ hoạt động?",A. Bé,B. vẽ,C. nhà,D. cả ba,B
760,38,Chữ cái nào không phải là nguyên âm?,A. i,B. o,C. m,D. e,C
761,39,"Trong các từ sau, từ nào chỉ sự vật?",A. bút,B. chạy,C. ăn,D. cười,A
762,39,Từ nào là âm thanh của con chó?,A. meo meo,B. gâu gâu,C. ò ó o,D. ụm bò,B
763,39,Từ nào có nghĩa giống với “mẹ”?,A. má,B. bố,C. ông,D. bà,A
764,39,Từ nào chỉ màu?,A. vàng,B. mèo,C. vở,D. bàn,A
765,39,"Trong câu “Chim bay cao”, từ nào chỉ hoạt động?",A. Chim,B. bay,C. cao,D. cả 3,B
766,39,Từ nào có vần “ua”?,A. lúa,B. cua,C. mua,D. cả ba,D
767,39,Từ nào là đồ dùng học tập?,A. bút,B. gà,C. mèo,D. cá,A
768,39,"Trong từ “cái bàn”, tiếng nào chỉ sự vật?",A. cái,B. bàn,C. cả hai,D. không có,B
769,39,Từ nào có thanh sắc?,A. lá,B. bà,C. mẹ,D. cha,A
770,39,"Trong câu “Trời mưa to”, từ nào chỉ sự vật?",A. Trời,B. mưa,C. to,D. cả câu,A
771,39,Con gì kêu “meo meo”?,A. chó,B. mèo,C. gà,D. vịt,B
772,39,Từ nào có nghĩa trái ngược với “to”?,A. bé,B. cao,C. dài,D. đẹp,A
773,39,"Trong câu “Hoa nở đẹp”, từ nào chỉ sự vật?",A. Hoa,B. nở,C. đẹp,D. cả câu,A
774,39,Từ nào là trái cây?,A. xoài,B. mèo,C. bàn,D. cá,A
775,39,"Trong từ “lá cây”, tiếng nào chỉ sự vật?",A. lá,B. cây,C. cả hai,D. không có,C
776,39,Từ nào có vần “ang”?,A. vàng,B. mèo,C. cá,D. lá,A
777,39,Từ nào có nghĩa giống với “ông”?,A. nội,B. bố,C. mẹ,D. bà,A
778,39,"Trong câu “Bé học bài”, từ nào chỉ hoạt động?",A. Bé,B. học,C. bài,D. cả ba,B
779,39,Từ nào có thanh nặng?,A. mẹ,B. lá,C. bà,D. ca,A
780,39,"Trong các từ sau, từ nào chỉ màu sắc?",A. đỏ,B. mèo,C. bàn,D. vở,A
781,40,"Trong câu “Bạn Lan đang đọc sách”, từ nào chỉ hoạt động?",A.Bạn,Lan,đang đọc,sách,C
782,40,Từ nào chỉ sự vật?,con mèo,đẹp,chạy,ăn,A
783,40,Từ nào có nghĩa trái ngược với “cao”?,thấp,to,ngắn,dài,A
784,40,"Trong câu “Ông ngoại đi bộ”, từ nào chỉ người?",Ông,ngoại,đi,bộ,A
785,40,Từ nào chỉ đặc điểm?,xanh,cây,bàn,bút,A
786,40,"Trong câu “Trời mưa to”, từ nào chỉ sự vật?",Trời,mưa,to,cả câu,A
787,40,Từ nào có nghĩa giống với “thông minh”?,khôn ngoan,ngốc,xấu,dở,A
788,40,Dấu nào dùng để kết thúc câu hỏi?,.,!,?,",",C
789,40,"Trong câu “Lan và Hoa chơi nhảy dây”, có mấy bạn được nhắc đến?",1,2,3,4,B
790,40,Từ nào chỉ hoạt động?,ăn,cái bàn,cái ghế,ông,A
791,40,"Trong các từ sau, từ nào chỉ con vật?",chó,bút,bàn,vở,A
792,40,Từ nào có vần “ay”?,bay,mèo,bàn,cá,A
793,40,Từ nào chỉ đồ vật?,cái thước,con mèo,cái cây,con cá,A
794,40,"Trong câu “Mẹ mua xoài”, từ nào chỉ trái cây?",Mẹ,mua,xoài,cả câu,C
795,40,Từ nào có thanh ngã?,mãi,ba,mẹ,cá,A
796,40,"Trong các từ sau, từ nào là danh từ?",con gà,ăn,ngủ,đi,A
797,40,Dấu nào dùng để kết thúc câu cảm?,.,!,?,",",B
798,40,"Trong câu “Bé viết chữ đẹp”, từ nào chỉ đặc điểm?",Bé,viết,chữ,đẹp,D
799,40,Từ nào có nghĩa trái ngược với “trẻ”?,già,xinh,to,cao,A
800,40,"Trong câu “Con mèo kêu meo meo”, từ nào chỉ hoạt động?",Con,mèo,kêu,meo,C
801,41,Từ nào chỉ màu sắc?,đỏ,bút,cây,cá,A
802,41,"Trong câu “Lan cười tươi”, từ nào chỉ người?",Lan,cười,tươi,cả câu,A
803,41,Từ nào là từ láy?,lấp lánh,cây,cá,bút,A
804,41,"Trong các từ sau, từ nào có thanh hỏi?",bạn,ba,bà,cha,A
805,41,"Trong câu “Bé ăn cơm”, từ nào chỉ sự vật?",Bé,ăn,cơm,cả câu,C
806,41,Từ nào có vần “ươn”?,lươn,cá,bàn,cây,A
807,41,"Trong câu “Ông bà hiền hậu”, từ nào chỉ đặc điểm?",Ông,bà,hiền hậu,cả câu,C
808,41,Từ nào có nghĩa giống với “xinh đẹp”?,đẹp,xấu,cao,thấp,A
809,41,"Trong câu “Bạn nhỏ vẽ tranh”, từ nào chỉ hoạt động?",Bạn,nhỏ,vẽ,tranh,C
810,41,"Trong các dấu câu, dấu nào dùng để ngăn cách các từ trong một phép liệt kê?",.,",",?,!,B
811,41,Từ nào có nghĩa trái ngược với “nhanh”?,chậm,đẹp,già,cao,A
812,41,"Trong câu “Cô giáo giảng bài”, từ nào chỉ người?",Cô,giáo,giảng,bài,B
813,41,Từ nào chỉ đồ dùng học tập?,bút,cá,chim,hoa,A
814,41,"Trong các từ sau, từ nào chỉ hoạt động?",chạy,đỏ,ông,cái bàn,A
815,41,"Trong câu “Hoa nở rực rỡ”, từ nào chỉ đặc điểm?",Hoa,nở,rực rỡ,cả câu,C
816,41,Từ nào có thanh nặng?,mẹ,ba,cá,lá,A
817,41,"Trong câu “Bé bơi giỏi”, từ nào chỉ hoạt động?",Bé,bơi,giỏi,cả câu,B
818,41,"Trong câu “Chim hót líu lo”, từ nào là từ láy?",Chim,hót,líu lo,cả câu,C
